nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 10000000000.0
stiffness 1.3
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
loaded from:  /home/achard/isaacgym/python/isaacGymEnvs/isaacgymenvs/minimal-isaacgym/fly_bProject/save7_1_23/save1_standing_18dofs_.pth
Steps: 24900 | Opt Step: 0825 | Reward 0.6966 | Action Var 0.0100
Steps: 25000 | Opt Step: 0825 | Reward 0.5046 | Action Var 0.0100
Steps: 25100 | Opt Step: 0825 | Reward 0.6553 | Action Var 0.0100
Steps: 25200 | Opt Step: 0825 | Reward 0.5957 | Action Var 0.0100
Steps: 25300 | Opt Step: 0825 | Reward 0.5847 | Action Var 0.0100
Steps: 25400 | Opt Step: 0825 | Reward 0.5992 | Action Var 0.0100
Steps: 25500 | Opt Step: 0825 | Reward 0.5794 | Action Var 0.0100
Steps: 25600 | Opt Step: 0825 | Reward 0.5324 | Action Var 0.0100
Steps: 25700 | Opt Step: 0825 | Reward 0.5587 | Action Var 0.0100
Steps: 25800 | Opt Step: 0825 | Reward 0.6023 | Action Var 0.0100
Steps: 25900 | Opt Step: 0825 | Reward 0.5350 | Action Var 0.0100
Steps: 26000 | Opt Step: 0825 | Reward 0.6092 | Action Var 0.0100
Steps: 26100 | Opt Step: 0825 | Reward 0.5419 | Action Var 0.0100
Training
Steps: 26200 | Opt Step: 0900 | Reward 0.6524 | Action Var 0.0100
Steps: 26300 | Opt Step: 0900 | Reward 0.7133 | Action Var 0.0100
Steps: 26400 | Opt Step: 0900 | Reward 0.5969 | Action Var 0.0100
Steps: 26500 | Opt Step: 0900 | Reward 0.5724 | Action Var 0.0100
Steps: 26600 | Opt Step: 0900 | Reward 0.6130 | Action Var 0.0100
Steps: 26700 | Opt Step: 0900 | Reward 0.6375 | Action Var 0.0100
Steps: 26800 | Opt Step: 0900 | Reward 0.4857 | Action Var 0.0100
Steps: 26900 | Opt Step: 0900 | Reward 0.5975 | Action Var 0.0100
Steps: 27000 | Opt Step: 0900 | Reward 0.5836 | Action Var 0.0100
Steps: 27100 | Opt Step: 0900 | Reward 0.6491 | Action Var 0.0100
Steps: 27200 | Opt Step: 0900 | Reward 0.5470 | Action Var 0.0100
Steps: 27300 | Opt Step: 0900 | Reward 0.5606 | Action Var 0.0100
Steps: 27400 | Opt Step: 0900 | Reward 0.5461 | Action Var 0.0100
Steps: 27500 | Opt Step: 0900 | Reward 0.6916 | Action Var 0.0100
Steps: 27600 | Opt Step: 0900 | Reward 0.4716 | Action Var 0.0100
Steps: 27700 | Opt Step: 0900 | Reward 0.5808 | Action Var 0.0100
Steps: 27800 | Opt Step: 0900 | Reward 0.6068 | Action Var 0.0100
Steps: 27900 | Opt Step: 0900 | Reward 0.6432 | Action Var 0.0100
Steps: 28000 | Opt Step: 0900 | Reward 0.5976 | Action Var 0.0100
